"Year","State","prop_owners","nat_avg_prop_owners","universl","permit","child","adult_homicides","minor_homicides","adult_suicides","minor_suicides","adult_unintentionals","minor_unintentionals","adult_homicide_rate","minor_homicide_rate","adult_suicide_rate","minor_suicide_rate","adult_unintentional_rate","minor_unintentional_rate","total_adults","total_minors","total_pop","total_homicides","total_suicides","total_unintentionals","total_homicide_rate","total_suicide_rate","total_unintentional_rate"
1985,"Texas",0.506,0.49472,0,0,0,1290,141,1449,111,159,62,3.02516657176868,1.10958340101005,3.0787775022318,1.4268335196358,0.494201094092842,0.507740836629145,11005928,5288987,16294915,1431,1560,221,8.78188072782215,9.57353873892561,1.35625132134779
1986,"Texas",0.529,0.48124,0,0,0,1398,149,1481,101,121,50,3.3660516928748,1.12884218293835,3.30588061025351,1.10267353570413,0.360940391112025,0.347340800512175,11199739,5378314,16578053,1547,1582,171,9.33161451468396,9.54273701501618,1.03148421590883
1987,"Texas",0.516,0.50138,0,0,0,1156,97,1401,107,107,46,2.73512466016786,0.615252645887661,3.09036416732233,1.35587550275103,0.324278566562661,0.276949804894883,11242182,5393341,16635523,1253,1508,153,7.53207458521142,9.06493892617623,0.919718604578888
1988,"Texas",0.541,0.50614,0,0,0,1167,166,1446,119,101,54,2.67062642529238,1.60130743858431,3.20505602686183,1.14803872537216,0.295850786454873,0.324391657511613,11279054,5103587,16382641,1333,1565,155,8.13666123795303,9.55279432662902,0.94612339976198
1989,"Texas",0.555,0.52068,0,0,0,1169,147,1298,123,64,37,6.43433878362375,3.76607885093091,4.38365061777728,3.1512088344524,0.876004085464054,1.43313310785372,11441879,2581756,14023635,1316,1421,101,9.38415753119644,10.1328935044302,0.720212698062949
1990,"Texas",0.53,0.50864,0,0,0,1347,247,1400,122,43,37,5.37793079261836,6.29826491726196,4.40893988142786,3.11088388625895,0.971427383769843,1.42002005682383,11569600,2605597,14175197,1594,1522,80,11.2449936321873,10.7370641833055,0.564366054313037
1991,"Texas",0.514,0.50644,0,0,0,1550,301,1364,127,41,48,6.72774212243249,7.60458387135975,4.18734243742625,4.77670053359882,0.918877463432039,1.805367130809,11865312,2658739,14524051,1851,1491,89,12.7443782729763,10.2657309589453,0.612776697079899
1992,"Texas",0.522,0.49044,0,0,0,1319,315,1355,118,58,35,5.56519373414036,7.81872084734084,3.43043046509852,4.50246261811333,0.802941757096828,1.28752301907226,12126941,2718398,14845339,1634,1473,93,11.0068217371122,9.92230625383496,0.626459254315445
1993,"Texas",0.563,0.49478,0,0,0,1252,295,1400,101,72,33,4.56637891914395,7.13963652715494,3.50282625536414,3.61333327132233,0.779322327281607,1.18059403914492,12410527,2795203,15205730,1547,1501,105,10.1737963254642,9.87127878766754,0.69052916236182
1994,"Texas",0.517,0.47946,0,0,0,1192,296,1459,138,45,21,4.86993275734122,6.97259557932729,3.87322856537658,3.25073712819989,0.602897444733061,1.52607628346649,12689147,2869113,15558260,1488,1597,66,9.56405150704513,10.2646439897521,0.424211962006034
1995,"Texas",0.488,0.47674,0,0,1,893,271,1293,116,10,15,4.52181433622753,4.63928291408596,3.15721394451298,2.00444987873078,0.318395389125333,1.05286283934647,12981014,4416733,17397747,1164,1409,25,6.69052147959158,8.0987497978905,0.143696767173359
1996,"Texas",0.491,0.4543,0,0,1,780,181,1276,105,11,10,3.50720922593869,4.01988175773216,2.9997274385586,2.33197560531424,0.349800788450977,0.67585148839394,13218403,3023005,16241408,961,1381,21,5.91697468593856,8.50295737906467,0.129299134656306
1997,"Texas",0.494,0.43372,0,0,1,699,174,1178,117,10,0,4.06527966768694,3.76141801135559,2.81688315418028,3.81772048804172,0.313151158690602,0,13497060,3093587,16590647,873,1295,10,5.26200093341749,7.80560275919318,0.0602749247814145
1998,"Texas",0.466,0.43036,0,0,1,708,150,1209,90,13,12,3.61166795243066,4.72753036335168,2.98174307570325,1.89201711728908,0.399224031321275,0.756404858136269,13776435,3170376,16946811,858,1299,25,5.06289944462117,7.66515894937401,0.14752038008803
1999,"Texas",0.421,0.41604,0,0,1,616,130,1120,80,0,0,2.60838683596283,2.68011341415318,2.78308925392086,1.64930056255581,0,0,14069832,3230909,17300741,746,1200,0,4.31195403711321,6.93611909455208,0
2000,"Texas",0.417,0.42748,0,0,1,637,112,1135,105,0,0,2.83610416703398,2.2827713741285,2.82408397725973,1.60468114527163,0,0,14299473,3269278,17568751,749,1240,0,4.26325126925642,7.05798607994387,0
2001,"Texas",0.377,0.38746,0,0,1,702,116,1267,67,0,0,2.63466200364019,3.48635842048728,3.07488992707075,2.0136725359711,0,0,14668730,1663627,16332357,818,1334,0,5.00846264871629,8.16783517529038,0
2002,"Texas",0.379,0.39966,0,0,1,692,112,1238,60,0,0,3.44176244498029,3.31262744003109,2.78824652738872,1.78650970789375,0,0,14959247,3381002,18340249,804,1298,0,4.38380089605108,7.07733030233123,0
2003,"Texas",0.362,0.38286,0,0,1,784,123,1249,74,0,0,3.48378949201994,3.59610427883783,2.87336099658374,2.18459600029994,0,0,15221248,3420368,18641616,907,1323,0,4.86545801608616,7.0970242064851,0
2004,"Texas",0.368,0.39394,0,0,1,749,111,1223,66,0,0,2.90171267682723,6.47245794214322,2.76237684299718,1.92424425306961,0,0,15500225,1714959,17215184,860,1289,0,4.99558993967186,7.48757608399655,0
2005,"Texas",0.376,0.38722,0,0,1,813,141,1286,73,0,0,3.07358223930692,2.69345604795498,2.84888103883583,2.09572346096385,0,0,15799733,3493268,19293001,954,1359,0,4.94479837532792,7.04400523277846,0
2006,"Texas",0.363,0.37966,0,0,1,835,132,1245,52,0,0,2.8861632907543,2.46750741373818,2.58809151533174,1.45769816004853,0,0,16212627,3565894,19778521,967,1297,0,4.88914211532804,6.55761874206873,0
2007,"Texas",0.392,0.38172,0,0,1,819,125,1319,58,0,0,3.40066977831412,3.45707064980206,2.78585131381403,3.19300797316112,0,0,16555114,3615778,20170892,944,1377,0,4.68001117650127,6.82666884538373,0
2008,"Texas",0.367,0.385,0,0,1,840,113,1435,42,0,0,2.6803557112828,3.08039140052857,2.86277081662303,2.27450207358772,0,0,16899228,3668365,20567593,953,1477,0,4.63350281192359,7.18120005583541,0
2009,"Texas",0.357,0.38506,0,0,1,817,116,1490,68,0,0,2.55944514988433,6.1880891020816,2.91124102844415,1.8137502540584,0,0,17258152,1874569,19132721,933,1558,0,4.87646268400611,8.14311775099841,0
2010,"Texas",0.346,0.3786,0,0,1,757,91,1623,57,0,0,1.9298582933353,4.83239552998103,3.15501498379405,1.51344255609296,0,0,17523847,1883124,19406971,848,1680,0,4.3695639056708,8.65668320934781,0
2011,"Texas",0.378,0.3854,0,0,1,667,82,1591,71,0,0,1.82671196802799,4.36006478418211,2.98821042989116,1.25839268161354,0,0,17962261,1880706,19842967,749,1662,0,3.77463712961877,8.37576356398718,0
2012,"Texas",0.426,0.4071,0,0,1,757,63,1650,74,0,0,2.96418907187677,3.34997330656191,3.01752512757182,1.96744464036175,0,0,18339213,1880612,20219825,820,1724,0,4.05542580116297,8.52628546488409,0
2013,"Texas",0.364,0.39012,0,0,1,752,83,1676,73,0,0,2.77556907193718,4.39169704698058,3.02837878217361,1.93128846041917,0,0,18680187,1889930,20570117,835,1749,0,4.05928658548709,8.50262543475081,0
2014,"Texas",0.385,0.37782,0,0,1,784,90,1690,71,0,0,2.67804297500651,4.71554274325127,3.0411861360134,1.2222179951459,0,0,19066530,3900529,22967059,874,1761,0,3.80545023200402,7.66750327066256,0
2015,"Texas",0.336,0.36512,0,0,1,943,103,1894,91,0,0,2.30848243424797,5.30750553423393,3.26628549425367,1.16183076951754,0,0,19454478,3951170,23405648,1046,1985,0,4.46900679699191,8.48085897899515,0
2016,"Texas",0.355,0.39696,0,0,1,1030,117,1904,110,0,0,2.70376455639243,5.93731414176885,3.22555627208231,1.38524632072281,0,0,19805456,3999650,23805106,1147,2014,0,4.81829402481972,8.46036980469652,0
